prompt_id,repeat_id,category,injection_service,delta_pct,ood_confidence,n_flagged_nodes,flagged_nodes
REQ-03,2,In_Distribution,front-end,15.0,low,3,catalogue_workload; catalogue_cpu; carts_workload
REQ-04,2,In_Distribution,front-end,10.0,medium,2,catalogue_cpu; shipping_latency-50
REQ-05,2,In_Distribution,front-end,15.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; orders_latency-50
REQ-06,2,In_Distribution,front-end,10.0,low,1,catalogue_cpu
REQ-07,2,In_Distribution,front-end,10.0,low,2,catalogue_cpu; orders_latency-50
REQ-08,2,In_Distribution,front-end,10.0,low,2,catalogue_cpu; shipping_latency-50
REQ-09,2,In_Distribution,front-end,10.0,low,2,catalogue_cpu; orders_latency-50
REQ-10,2,In_Distribution,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-11,2,In_Distribution,front-end,20.0,low,3,catalogue_workload; catalogue_cpu; carts_workload
REQ-12,2,In_Distribution,front-end,15.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; shipping_latency-50
REQ-13,2,In_Distribution,front-end,15.0,low,3,catalogue_workload; catalogue_cpu; carts_workload
REQ-14,2,In_Distribution,front-end,10.0,medium,1,catalogue_cpu
REQ-15,2,In_Distribution,front-end,15.0,low,3,catalogue_workload; catalogue_cpu; carts_workload
REQ-16,2,In_Distribution,front-end,15.0,low,3,catalogue_workload; catalogue_cpu; carts_workload
REQ-17,2,In_Distribution,front-end,10.0,low,2,catalogue_cpu; orders_mem
REQ-18,2,In_Distribution,front-end,10.0,low,2,catalogue_cpu; shipping_latency-50
REQ-19,2,In_Distribution,front-end,10.0,low,1,catalogue_cpu
REQ-20,2,In_Distribution,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-21,2,Complex_MultiHop,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-22,2,Complex_MultiHop,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-23,2,Complex_MultiHop,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-24,2,Complex_MultiHop,front-end,20.0,low,3,catalogue_workload; catalogue_cpu; carts_workload
REQ-25,2,Complex_MultiHop,front-end,10.0,medium,1,catalogue_cpu
REQ-26,2,Complex_MultiHop,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-27,2,Complex_MultiHop,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-28,2,Complex_MultiHop,front-end,15.0,low,3,catalogue_workload; catalogue_cpu; carts_workload
REQ-29,2,Complex_MultiHop,front-end,20.0,low,3,catalogue_workload; catalogue_cpu; carts_workload
REQ-30,2,Complex_MultiHop,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-31,2,Subtle_ReadOnly,front-end,10.0,medium,2,catalogue_cpu; orders_latency-50
REQ-32,2,Subtle_ReadOnly,front-end,10.0,low,1,catalogue_cpu
REQ-33,2,Subtle_ReadOnly,front-end,25.0,low,5,catalogue_workload; catalogue_cpu; carts_workload; user_workload; shipping_latency-50
REQ-34,2,Subtle_ReadOnly,front-end,10.0,low,1,catalogue_cpu
REQ-35,2,Subtle_ReadOnly,front-end,10.0,low,2,catalogue_cpu; orders_latency-50
REQ-36,2,Subtle_ReadOnly,front-end,10.0,low,1,catalogue_cpu
REQ-37,2,Subtle_ReadOnly,front-end,10.0,low,2,catalogue_cpu; orders_latency-50
REQ-38,2,Subtle_ReadOnly,front-end,10.0,medium,2,catalogue_cpu; orders_latency-50
REQ-39,2,Subtle_ReadOnly,front-end,10.0,low,1,catalogue_cpu
REQ-40,2,Subtle_ReadOnly,front-end,10.0,low,1,catalogue_cpu
REQ-41,2,Adversarial_Stress,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-42,2,Adversarial_Stress,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-43,2,Adversarial_Stress,front-end,25.0,low,5,catalogue_workload; catalogue_cpu; carts_workload; user_workload; orders_latency-50
REQ-44,2,Adversarial_Stress,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-45,2,Adversarial_Stress,front-end,20.0,low,3,catalogue_workload; catalogue_cpu; carts_workload
REQ-46,2,Adversarial_Stress,front-end,10.0,medium,1,catalogue_cpu
REQ-47,2,Adversarial_Stress,front-end,10.0,low,1,catalogue_cpu
REQ-48,2,Adversarial_Stress,front-end,10.0,low,1,catalogue_cpu
REQ-49,2,Adversarial_Stress,front-end,10.0,medium,1,catalogue_cpu
REQ-50,2,Adversarial_Stress,front-end,10.0,medium,1,catalogue_cpu
REQ-01,3,In_Distribution,front-end,20.0,low,3,catalogue_workload; catalogue_cpu; carts_workload
REQ-02,3,In_Distribution,front-end,10.0,medium,1,catalogue_cpu
REQ-03,3,In_Distribution,front-end,15.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; orders_latency-50
REQ-04,3,In_Distribution,front-end,10.0,medium,1,catalogue_cpu
REQ-05,3,In_Distribution,front-end,15.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; orders_latency-50
REQ-06,3,In_Distribution,front-end,10.0,medium,1,shipping_latency-50
REQ-07,3,In_Distribution,front-end,10.0,low,1,catalogue_cpu
REQ-08,3,In_Distribution,front-end,10.0,medium,1,catalogue_cpu
REQ-09,3,In_Distribution,front-end,10.0,low,1,catalogue_cpu
REQ-10,3,In_Distribution,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-11,3,In_Distribution,front-end,20.0,low,3,catalogue_workload; catalogue_cpu; carts_workload
REQ-12,3,In_Distribution,front-end,15.0,low,3,catalogue_workload; catalogue_cpu; carts_workload
REQ-13,3,In_Distribution,front-end,15.0,low,3,catalogue_workload; catalogue_cpu; carts_workload
REQ-14,3,In_Distribution,front-end,10.0,medium,1,catalogue_cpu
REQ-15,3,In_Distribution,front-end,15.0,low,4,catalogue_workload; catalogue_cpu; catalogue_latency-50; carts_workload
REQ-16,3,In_Distribution,front-end,15.0,low,3,catalogue_workload; catalogue_cpu; carts_workload
REQ-17,3,In_Distribution,front-end,10.0,high,0,
REQ-18,3,In_Distribution,front-end,10.0,medium,2,catalogue_cpu; orders_latency-50
REQ-19,3,In_Distribution,front-end,10.0,medium,1,catalogue_cpu
REQ-20,3,In_Distribution,front-end,25.0,low,6,catalogue_workload; catalogue_cpu; carts_workload; user_workload; orders_mem; orders_latency-50
REQ-21,3,Complex_MultiHop,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-22,3,Complex_MultiHop,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-23,3,Complex_MultiHop,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-24,3,Complex_MultiHop,front-end,20.0,low,3,catalogue_workload; catalogue_cpu; carts_workload
REQ-25,3,Complex_MultiHop,front-end,10.0,low,1,catalogue_cpu
REQ-26,3,Complex_MultiHop,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-27,3,Complex_MultiHop,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-28,3,Complex_MultiHop,front-end,30.0,low,5,catalogue_workload; front-end_cpu; catalogue_cpu; carts_workload; user_workload
REQ-29,3,Complex_MultiHop,front-end,15.0,low,3,catalogue_workload; catalogue_cpu; carts_workload
REQ-30,3,Complex_MultiHop,front-end,25.0,low,5,catalogue_workload; catalogue_cpu; carts_workload; user_workload; orders_latency-50
REQ-31,3,Subtle_ReadOnly,front-end,10.0,medium,1,catalogue_cpu
REQ-32,3,Subtle_ReadOnly,front-end,10.0,low,1,catalogue_cpu
REQ-33,3,Subtle_ReadOnly,front-end,25.0,low,5,catalogue_workload; catalogue_cpu; carts_workload; user_workload; orders_latency-50
REQ-34,3,Subtle_ReadOnly,front-end,10.0,low,2,catalogue_cpu; orders_latency-50
REQ-35,3,Subtle_ReadOnly,front-end,10.0,low,1,catalogue_cpu
REQ-36,3,Subtle_ReadOnly,front-end,10.0,low,2,catalogue_cpu; orders_latency-50
REQ-37,3,Subtle_ReadOnly,front-end,10.0,low,1,catalogue_cpu
REQ-38,3,Subtle_ReadOnly,front-end,10.0,low,2,catalogue_cpu; orders_latency-50
REQ-39,3,Subtle_ReadOnly,front-end,10.0,low,2,catalogue_cpu; orders_latency-50
REQ-40,3,Subtle_ReadOnly,front-end,10.0,low,2,catalogue_cpu; orders_mem
REQ-41,3,Adversarial_Stress,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-42,3,Adversarial_Stress,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-43,3,Adversarial_Stress,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-44,3,Adversarial_Stress,front-end,25.0,low,6,catalogue_workload; catalogue_cpu; carts_workload; user_workload; orders_latency-50; shipping_latency-50
REQ-45,3,Adversarial_Stress,front-end,20.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; orders_latency-50
REQ-46,3,Adversarial_Stress,front-end,10.0,medium,1,catalogue_cpu
REQ-47,3,Adversarial_Stress,front-end,10.0,low,1,catalogue_cpu
REQ-48,3,Adversarial_Stress,front-end,10.0,low,3,catalogue_cpu; orders_latency-50; shipping_latency-50
REQ-49,3,Adversarial_Stress,front-end,10.0,low,1,catalogue_cpu
REQ-50,3,Adversarial_Stress,front-end,10.0,low,1,catalogue_cpu
