scenario,run_id,metric,svc_a,svc_b,same_node,call_edge,partial_corr,abs_partial_corr,n
carts_cpu,2,cpu,user,payment,True,False,0.152,0.152,720
carts_cpu,2,cpu,user,shipping,False,False,0.0165,0.0165,720
carts_cpu,2,cpu,carts,orders,False,True,-0.0052,0.0052,720
carts_cpu,2,cpu,carts,payment,False,False,0.0878,0.0878,720
carts_cpu,2,cpu,carts,shipping,True,False,-0.0026,0.0026,720
carts_cpu,2,cpu,orders,payment,True,True,-0.0869,0.0869,720
carts_cpu,2,cpu,orders,shipping,False,True,0.0764,0.0764,720
carts_cpu,2,cpu,payment,shipping,False,False,0.195,0.195,720
carts_cpu,2,mem,front-end,catalogue,False,True,-0.0483,0.0483,720
carts_cpu,2,mem,front-end,user,False,True,0.1959,0.1959,720
carts_cpu,2,mem,front-end,carts,False,True,-0.045,0.045,720
carts_cpu,2,mem,front-end,orders,False,True,0.051,0.051,720
carts_cpu,2,mem,front-end,payment,False,False,0.0429,0.0429,720
carts_cpu,2,mem,front-end,shipping,False,False,0.207,0.207,720
carts_cpu,2,mem,catalogue,user,True,False,0.7078,0.7078,720
carts_cpu,2,mem,catalogue,carts,False,False,-0.737,0.737,720
carts_cpu,2,mem,catalogue,orders,True,False,0.6521,0.6521,720
carts_cpu,2,mem,catalogue,payment,True,False,0.7095,0.7095,720
carts_cpu,2,mem,catalogue,shipping,False,False,0.4877,0.4877,720
carts_cpu,2,mem,user,carts,False,False,-0.5359,0.5359,720
carts_cpu,2,mem,user,orders,True,True,0.6545,0.6545,720
carts_cpu,2,mem,user,payment,True,False,0.4553,0.4553,720
carts_cpu,2,mem,user,shipping,False,False,0.6243,0.6243,720
carts_cpu,2,mem,carts,orders,False,True,-0.6377,0.6377,720
carts_cpu,2,mem,carts,payment,False,False,-0.6219,0.6219,720
carts_cpu,2,mem,carts,shipping,True,False,-0.4849,0.4849,720
carts_cpu,2,mem,orders,payment,True,True,0.3432,0.3432,720
carts_cpu,2,mem,orders,shipping,False,True,0.7023,0.7023,720
carts_cpu,2,mem,payment,shipping,False,False,0.3207,0.3207,720
carts_cpu,3,cpu,front-end,catalogue,False,True,0.1216,0.1216,720
carts_cpu,3,cpu,front-end,user,False,True,0.0753,0.0753,720
carts_cpu,3,cpu,front-end,carts,False,True,0.1173,0.1173,720
carts_cpu,3,cpu,front-end,orders,False,True,0.1527,0.1527,720
carts_cpu,3,cpu,front-end,payment,False,False,-0.024,0.024,720
carts_cpu,3,cpu,front-end,shipping,False,False,-0.0584,0.0584,720
carts_cpu,3,cpu,catalogue,user,True,False,0.0072,0.0072,720
carts_cpu,3,cpu,catalogue,carts,False,False,-0.1235,0.1235,720
carts_cpu,3,cpu,catalogue,orders,True,False,0.0731,0.0731,720
carts_cpu,3,cpu,catalogue,payment,True,False,-0.0243,0.0243,720
carts_cpu,3,cpu,catalogue,shipping,False,False,0.1901,0.1901,720
carts_cpu,3,cpu,user,carts,False,False,0.0462,0.0462,720
carts_cpu,3,cpu,user,orders,True,True,-0.23,0.23,720
carts_cpu,3,cpu,user,payment,True,False,0.0885,0.0885,720
carts_cpu,3,cpu,user,shipping,False,False,-0.0752,0.0752,720
carts_cpu,3,cpu,carts,orders,False,True,-0.1132,0.1132,720
carts_cpu,3,cpu,carts,payment,False,False,-0.0259,0.0259,720
carts_cpu,3,cpu,carts,shipping,True,False,-0.1094,0.1094,720
carts_cpu,3,cpu,orders,payment,True,True,0.0944,0.0944,720
carts_cpu,3,cpu,orders,shipping,False,True,-0.1084,0.1084,720
carts_cpu,3,cpu,payment,shipping,False,False,0.1448,0.1448,720
carts_cpu,3,mem,front-end,catalogue,False,True,0.1562,0.1562,720
carts_cpu,3,mem,front-end,user,False,True,0.0387,0.0387,720
carts_cpu,3,mem,front-end,carts,False,True,0.0346,0.0346,720
carts_cpu,3,mem,front-end,orders,False,True,0.0758,0.0758,720
carts_cpu,3,mem,front-end,payment,False,False,0.0031,0.0031,720
carts_cpu,3,mem,front-end,shipping,False,False,-0.1033,0.1033,720
carts_cpu,3,mem,catalogue,user,True,False,0.6051,0.6051,720
carts_cpu,3,mem,catalogue,carts,False,False,0.3713,0.3713,720
carts_cpu,3,mem,catalogue,orders,True,False,-0.2188,0.2188,720
carts_cpu,3,mem,catalogue,payment,True,False,0.3782,0.3782,720
carts_cpu,3,mem,catalogue,shipping,False,False,-0.7098,0.7098,720
carts_cpu,3,mem,user,carts,False,False,0.2946,0.2946,720
carts_cpu,3,mem,user,orders,True,True,-0.246,0.246,720
carts_cpu,3,mem,user,payment,True,False,0.2897,0.2897,720
carts_cpu,3,mem,user,shipping,False,False,-0.6095,0.6095,720
carts_cpu,3,mem,carts,orders,False,True,-0.1662,0.1662,720
carts_cpu,3,mem,carts,payment,False,False,0.298,0.298,720
carts_cpu,3,mem,carts,shipping,True,False,-0.3264,0.3264,720
carts_cpu,3,mem,orders,payment,True,True,-0.1105,0.1105,720
carts_cpu,3,mem,orders,shipping,False,True,0.359,0.359,720
carts_cpu,3,mem,payment,shipping,False,False,-0.5136,0.5136,720
carts_delay,1,cpu,front-end,catalogue,False,True,0.0383,0.0383,720
carts_delay,1,cpu,front-end,user,False,True,0.0407,0.0407,720
carts_delay,1,cpu,front-end,carts,False,True,0.1939,0.1939,720
carts_delay,1,cpu,front-end,orders,False,True,0.0551,0.0551,720
carts_delay,1,cpu,front-end,payment,False,False,0.0352,0.0352,720
carts_delay,1,cpu,front-end,shipping,False,False,-0.0801,0.0801,720
carts_delay,1,cpu,catalogue,user,True,False,-0.0147,0.0147,720
carts_delay,1,cpu,catalogue,carts,True,False,0.12,0.12,720
carts_delay,1,cpu,catalogue,orders,True,False,-0.1841,0.1841,720
carts_delay,1,cpu,catalogue,payment,False,False,-0.0278,0.0278,720
carts_delay,1,cpu,catalogue,shipping,False,False,0.0421,0.0421,720
carts_delay,1,cpu,user,carts,True,False,0.2357,0.2357,720
carts_delay,1,cpu,user,orders,True,True,0.0383,0.0383,720
carts_delay,1,cpu,user,payment,False,False,0.1355,0.1355,720
carts_delay,1,cpu,user,shipping,False,False,0.1036,0.1036,720
carts_delay,1,cpu,carts,orders,True,True,-0.118,0.118,720
carts_delay,1,cpu,carts,payment,False,False,0.126,0.126,720
carts_delay,1,cpu,carts,shipping,False,False,0.0832,0.0832,720
carts_delay,1,cpu,orders,payment,False,True,0.0898,0.0898,720
carts_delay,1,cpu,orders,shipping,False,True,-0.0879,0.0879,720
carts_delay,1,cpu,payment,shipping,True,False,0.0093,0.0093,720
carts_delay,1,mem,front-end,catalogue,False,True,-0.016,0.016,720
carts_delay,1,mem,front-end,user,False,True,0.0685,0.0685,720
carts_delay,1,mem,front-end,carts,False,True,0.072,0.072,720
carts_delay,1,mem,front-end,orders,False,True,-0.0079,0.0079,720
carts_delay,1,mem,front-end,payment,False,False,-0.0954,0.0954,720
carts_delay,1,mem,front-end,shipping,False,False,0.0646,0.0646,720
carts_delay,1,mem,catalogue,user,True,False,0.8027,0.8027,720
carts_delay,1,mem,catalogue,carts,True,False,-0.8475,0.8475,720
carts_delay,1,mem,catalogue,orders,True,False,0.3185,0.3185,720
carts_delay,1,mem,catalogue,payment,False,False,-0.2851,0.2851,720
carts_delay,1,mem,catalogue,shipping,False,False,0.791,0.791,720
carts_delay,1,mem,user,carts,True,False,-0.6093,0.6093,720
carts_delay,1,mem,user,orders,True,True,0.0087,0.0087,720
carts_delay,1,mem,user,payment,False,False,-0.5374,0.5374,720
carts_delay,1,mem,user,shipping,False,False,0.9085,0.9085,720
carts_delay,1,mem,carts,orders,True,True,-0.408,0.408,720
carts_delay,1,mem,carts,payment,False,False,0.1119,0.1119,720
carts_delay,1,mem,carts,shipping,False,False,-0.6651,0.6651,720
carts_delay,1,mem,orders,payment,False,True,-0.202,0.202,720
carts_delay,1,mem,orders,shipping,False,True,-0.1215,0.1215,720
carts_delay,1,mem,payment,shipping,True,False,-0.3381,0.3381,720
carts_delay,2,cpu,front-end,catalogue,False,True,0.0091,0.0091,720
carts_delay,2,cpu,front-end,user,False,True,0.0097,0.0097,720
carts_delay,2,cpu,front-end,carts,False,True,0.0799,0.0799,720
carts_delay,2,cpu,front-end,orders,False,True,-0.032,0.032,720
carts_delay,2,cpu,front-end,payment,False,False,0.1824,0.1824,720
carts_delay,2,cpu,front-end,shipping,True,False,-0.1344,0.1344,720
carts_delay,2,cpu,catalogue,user,False,False,-0.0423,0.0423,720
carts_delay,2,cpu,catalogue,carts,True,False,0.0794,0.0794,720
carts_delay,2,cpu,catalogue,orders,False,False,-0.07,0.07,720
carts_delay,2,cpu,catalogue,payment,True,False,0.0294,0.0294,720
carts_delay,2,cpu,catalogue,shipping,False,False,0.0407,0.0407,720
carts_delay,2,cpu,user,carts,False,False,0.0967,0.0967,720
carts_delay,2,cpu,user,orders,True,True,0.148,0.148,720
carts_delay,2,cpu,user,payment,False,False,-0.0401,0.0401,720
carts_delay,2,cpu,user,shipping,False,False,-0.1095,0.1095,720
carts_delay,2,cpu,carts,orders,False,True,-0.0118,0.0118,720
carts_delay,2,cpu,carts,payment,True,False,0.0342,0.0342,720
carts_delay,2,cpu,carts,shipping,False,False,-0.1907,0.1907,720
carts_delay,2,cpu,orders,payment,False,True,-0.049,0.049,720
carts_delay,2,cpu,orders,shipping,False,True,0.5051,0.5051,720
carts_delay,2,cpu,payment,shipping,False,False,-0.0718,0.0718,720
carts_delay,2,mem,front-end,catalogue,False,True,0.196,0.196,720
carts_delay,2,mem,front-end,user,False,True,0.1638,0.1638,720
carts_delay,2,mem,front-end,carts,False,True,-0.1061,0.1061,720
carts_delay,2,mem,front-end,orders,False,True,-0.0185,0.0185,720
carts_delay,2,mem,front-end,payment,False,False,0.2522,0.2522,720
carts_delay,2,mem,front-end,shipping,True,False,0.1964,0.1964,720
carts_delay,2,mem,catalogue,user,False,False,0.048,0.048,720
carts_delay,2,mem,catalogue,carts,True,False,0.0831,0.0831,720
carts_delay,2,mem,catalogue,orders,False,False,-0.2319,0.2319,720
carts_delay,2,mem,catalogue,payment,True,False,0.1807,0.1807,720
carts_delay,2,mem,catalogue,shipping,False,False,0.3122,0.3122,720
carts_delay,2,mem,user,carts,False,False,0.019,0.019,720
carts_delay,2,mem,user,orders,True,True,0.0025,0.0025,720
carts_delay,2,mem,user,payment,False,False,0.6363,0.6363,720
carts_delay,2,mem,user,shipping,False,False,0.6641,0.6641,720
carts_delay,2,mem,carts,orders,False,True,-0.0388,0.0388,720
carts_delay,2,mem,carts,payment,True,False,0.0488,0.0488,720
carts_delay,2,mem,carts,shipping,False,False,0.1051,0.1051,720
carts_delay,2,mem,orders,payment,False,True,0.1714,0.1714,720
carts_delay,2,mem,orders,shipping,False,True,0.0632,0.0632,720
carts_delay,2,mem,payment,shipping,False,False,0.8041,0.8041,720
carts_delay,3,cpu,front-end,catalogue,False,True,0.1871,0.1871,720
carts_delay,3,cpu,front-end,user,False,True,0.0374,0.0374,720
carts_delay,3,cpu,front-end,carts,False,True,0.1396,0.1396,720
carts_delay,3,cpu,front-end,orders,False,True,0.1557,0.1557,720
carts_delay,3,cpu,front-end,payment,False,False,-0.1141,0.1141,720
carts_delay,3,cpu,front-end,shipping,True,False,0.1131,0.1131,720
carts_delay,3,cpu,catalogue,user,False,False,-0.0456,0.0456,720
carts_delay,3,cpu,catalogue,carts,True,False,0.0976,0.0976,720
carts_delay,3,cpu,catalogue,orders,False,False,0.0345,0.0345,720
carts_delay,3,cpu,catalogue,payment,True,False,0.041,0.041,720
carts_delay,3,cpu,catalogue,shipping,False,False,0.0767,0.0767,720
carts_delay,3,cpu,user,carts,False,False,-0.2106,0.2106,720
carts_delay,3,cpu,user,orders,True,True,-0.0046,0.0046,720
carts_delay,3,cpu,user,payment,False,False,0.0422,0.0422,720
carts_delay,3,cpu,user,shipping,False,False,-0.056,0.056,720
carts_delay,3,cpu,carts,orders,False,True,-0.0067,0.0067,720
carts_delay,3,cpu,carts,payment,True,False,-0.1198,0.1198,720
carts_delay,3,cpu,carts,shipping,False,False,0.0892,0.0892,720
carts_delay,3,cpu,orders,payment,False,True,0.2669,0.2669,720
carts_delay,3,cpu,orders,shipping,False,True,0.6803,0.6803,720
carts_delay,3,cpu,payment,shipping,False,False,0.1232,0.1232,720
carts_delay,3,mem,front-end,catalogue,False,True,0.2393,0.2393,720
carts_delay,3,mem,front-end,user,False,True,0.2265,0.2265,720
carts_delay,3,mem,front-end,carts,False,True,0.0688,0.0688,720
carts_delay,3,mem,front-end,orders,False,True,-0.0896,0.0896,720
carts_delay,3,mem,front-end,payment,False,False,0.1553,0.1553,720
carts_delay,3,mem,front-end,shipping,True,False,-0.037,0.037,720
carts_delay,3,mem,catalogue,user,False,False,0.2738,0.2738,720
carts_delay,3,mem,catalogue,carts,True,False,0.0843,0.0843,720
carts_delay,3,mem,catalogue,orders,False,False,0.2759,0.2759,720
carts_delay,3,mem,catalogue,payment,True,False,0.4722,0.4722,720
carts_delay,3,mem,catalogue,shipping,False,False,0.6718,0.6718,720
carts_delay,3,mem,user,carts,False,False,0.0862,0.0862,720
carts_delay,3,mem,user,orders,True,True,0.1653,0.1653,720
carts_delay,3,mem,user,payment,False,False,0.2519,0.2519,720
carts_delay,3,mem,user,shipping,False,False,0.1212,0.1212,720
carts_delay,3,mem,carts,orders,False,True,-0.0044,0.0044,720
carts_delay,3,mem,carts,payment,True,False,0.4509,0.4509,720
carts_delay,3,mem,carts,shipping,False,False,-0.01,0.01,720
carts_delay,3,mem,orders,payment,False,True,-0.0774,0.0774,720
carts_delay,3,mem,orders,shipping,False,True,0.0964,0.0964,720
carts_delay,3,mem,payment,shipping,False,False,0.3135,0.3135,720
carts_disk,1,cpu,front-end,catalogue,True,True,0.0845,0.0845,720
carts_disk,1,cpu,front-end,user,False,True,0.0217,0.0217,720
carts_disk,1,cpu,front-end,carts,False,True,-0.2352,0.2352,720
carts_disk,1,cpu,front-end,orders,False,True,-0.0366,0.0366,720
carts_disk,1,cpu,front-end,payment,False,False,0.1098,0.1098,720
carts_disk,1,cpu,front-end,shipping,True,False,-0.0065,0.0065,720
carts_disk,1,cpu,catalogue,user,False,False,0.0229,0.0229,720
carts_disk,1,cpu,catalogue,carts,False,False,0.1542,0.1542,720
carts_disk,1,cpu,catalogue,orders,False,False,-0.0252,0.0252,720
carts_disk,1,cpu,catalogue,payment,False,False,0.1237,0.1237,720
carts_disk,1,cpu,catalogue,shipping,True,False,-0.0181,0.0181,720
carts_disk,1,cpu,user,carts,False,False,0.0496,0.0496,720
carts_disk,1,cpu,user,orders,True,True,0.0316,0.0316,720
carts_disk,1,cpu,user,payment,True,False,0.2284,0.2284,720
carts_disk,1,cpu,user,shipping,False,False,-0.0016,0.0016,720
carts_disk,1,cpu,carts,orders,False,True,0.0099,0.0099,720
carts_disk,1,cpu,carts,payment,False,False,-0.0183,0.0183,720
carts_disk,1,cpu,carts,shipping,False,False,0.365,0.365,720
carts_disk,1,cpu,orders,payment,True,True,0.0635,0.0635,720
carts_disk,1,cpu,orders,shipping,False,True,0.0896,0.0896,720
carts_disk,1,cpu,payment,shipping,False,False,0.2247,0.2247,720
carts_disk,1,mem,front-end,catalogue,True,True,-0.018,0.018,720
carts_disk,1,mem,front-end,user,False,True,0.0689,0.0689,720
carts_disk,1,mem,front-end,carts,False,True,0.1253,0.1253,720
carts_disk,1,mem,front-end,orders,False,True,-0.058,0.058,720
carts_disk,1,mem,front-end,payment,False,False,-0.1972,0.1972,720
carts_disk,1,mem,front-end,shipping,True,False,0.04,0.04,720
carts_disk,1,mem,catalogue,user,False,False,0.8792,0.8792,720
carts_disk,1,mem,catalogue,carts,False,False,0.7953,0.7953,720
carts_disk,1,mem,catalogue,orders,False,False,0.4081,0.4081,720
carts_disk,1,mem,catalogue,payment,False,False,0.1715,0.1715,720
carts_disk,1,mem,catalogue,shipping,True,False,0.5045,0.5045,720
carts_disk,1,mem,user,carts,False,False,0.654,0.654,720
carts_disk,1,mem,user,orders,True,True,0.6011,0.6011,720
carts_disk,1,mem,user,payment,True,False,0.2203,0.2203,720
carts_disk,1,mem,user,shipping,False,False,0.5346,0.5346,720
carts_disk,1,mem,carts,orders,False,True,0.2523,0.2523,720
carts_disk,1,mem,carts,payment,False,False,-0.2023,0.2023,720
carts_disk,1,mem,carts,shipping,False,False,0.4827,0.4827,720
carts_disk,1,mem,orders,payment,True,True,0.1878,0.1878,720
carts_disk,1,mem,orders,shipping,False,True,0.0278,0.0278,720
carts_disk,1,mem,payment,shipping,False,False,0.0562,0.0562,720
carts_disk,2,cpu,front-end,catalogue,False,True,-0.1105,0.1105,720
carts_disk,2,cpu,front-end,user,True,True,0.0443,0.0443,720
carts_disk,2,cpu,front-end,carts,False,True,0.0231,0.0231,720
carts_disk,2,cpu,front-end,orders,False,True,0.0978,0.0978,720
carts_disk,2,cpu,front-end,payment,False,False,0.0714,0.0714,720
carts_disk,2,cpu,front-end,shipping,False,False,0.0736,0.0736,720
carts_disk,2,cpu,catalogue,user,False,False,0.1181,0.1181,720
carts_disk,2,cpu,catalogue,carts,True,False,-0.0027,0.0027,720
carts_disk,2,cpu,catalogue,orders,True,False,-0.0098,0.0098,720
carts_disk,2,cpu,catalogue,payment,True,False,0.1307,0.1307,720
carts_disk,2,cpu,catalogue,shipping,True,False,0.0035,0.0035,720
carts_disk,2,cpu,user,carts,False,False,0.0416,0.0416,720
carts_disk,2,cpu,user,orders,False,True,-0.0429,0.0429,720
carts_disk,2,cpu,user,payment,False,False,0.1381,0.1381,720
carts_disk,2,cpu,user,shipping,False,False,0.0605,0.0605,720
carts_disk,2,cpu,carts,orders,True,True,-0.1373,0.1373,720
carts_disk,2,cpu,carts,payment,True,False,0.1201,0.1201,720
carts_disk,2,cpu,carts,shipping,True,False,0.606,0.606,720
carts_disk,2,cpu,orders,payment,True,True,0.0366,0.0366,720
carts_disk,2,cpu,orders,shipping,True,True,-0.1764,0.1764,720
carts_disk,2,cpu,payment,shipping,True,False,0.0695,0.0695,720
carts_disk,2,mem,front-end,catalogue,False,True,0.1872,0.1872,720
carts_disk,2,mem,front-end,user,True,True,0.0824,0.0824,720
carts_disk,2,mem,front-end,carts,False,True,0.0895,0.0895,720
carts_disk,2,mem,front-end,orders,False,True,0.1035,0.1035,720
carts_disk,2,mem,front-end,payment,False,False,-0.1506,0.1506,720
carts_disk,2,mem,front-end,shipping,False,False,0.1674,0.1674,720
carts_disk,2,mem,catalogue,user,False,False,0.5778,0.5778,720
carts_disk,2,mem,catalogue,carts,True,False,0.6372,0.6372,720
carts_disk,2,mem,catalogue,orders,True,False,0.6166,0.6166,720
carts_disk,2,mem,catalogue,payment,True,False,-0.4663,0.4663,720
carts_disk,2,mem,catalogue,shipping,True,False,0.6338,0.6338,720
carts_disk,2,mem,user,carts,False,False,0.832,0.832,720
carts_disk,2,mem,user,orders,False,True,0.7565,0.7565,720
carts_disk,2,mem,user,payment,False,False,-0.6354,0.6354,720
carts_disk,2,mem,user,shipping,False,False,0.7861,0.7861,720
carts_disk,2,mem,carts,orders,True,True,0.8809,0.8809,720
carts_disk,2,mem,carts,payment,True,False,-0.6965,0.6965,720
carts_disk,2,mem,carts,shipping,True,False,0.8854,0.8854,720
carts_disk,2,mem,orders,payment,True,True,-0.7614,0.7614,720
carts_disk,2,mem,orders,shipping,True,True,0.8595,0.8595,720
carts_disk,2,mem,payment,shipping,True,False,-0.8586,0.8586,720
carts_disk,3,cpu,front-end,catalogue,False,True,-0.006,0.006,720
carts_disk,3,cpu,front-end,user,False,True,0.0514,0.0514,720
carts_disk,3,cpu,front-end,carts,False,True,0.075,0.075,720
carts_disk,3,cpu,front-end,orders,False,True,0.0536,0.0536,720
carts_disk,3,cpu,front-end,payment,False,False,0.0282,0.0282,720
carts_disk,3,cpu,front-end,shipping,True,False,-0.1913,0.1913,720
carts_disk,3,cpu,catalogue,user,False,False,0.0226,0.0226,720
carts_disk,3,cpu,catalogue,carts,True,False,0.0321,0.0321,720
carts_disk,3,cpu,catalogue,orders,False,False,0.1353,0.1353,720
carts_disk,3,cpu,catalogue,payment,True,False,0.0496,0.0496,720
carts_disk,3,cpu,catalogue,shipping,False,False,-0.05,0.05,720
carts_disk,3,cpu,user,carts,False,False,0.1468,0.1468,720
carts_disk,3,cpu,user,orders,True,True,0.1527,0.1527,720
carts_disk,3,cpu,user,payment,False,False,0.2436,0.2436,720
carts_disk,3,cpu,user,shipping,False,False,0.1128,0.1128,720
carts_disk,3,cpu,carts,orders,False,True,0.1306,0.1306,720
carts_disk,3,cpu,carts,payment,True,False,-0.035,0.035,720
carts_disk,3,cpu,carts,shipping,False,False,0.4578,0.4578,720
carts_disk,3,cpu,orders,payment,False,True,0.0922,0.0922,720
carts_disk,3,cpu,orders,shipping,False,True,-0.0427,0.0427,720
carts_disk,3,cpu,payment,shipping,False,False,-0.0693,0.0693,720
carts_disk,3,mem,front-end,catalogue,False,True,0.1993,0.1993,720
carts_disk,3,mem,front-end,user,False,True,0.087,0.087,720
carts_disk,3,mem,front-end,carts,False,True,0.0918,0.0918,720
carts_disk,3,mem,front-end,orders,False,True,0.0799,0.0799,720
carts_disk,3,mem,front-end,payment,False,False,-0.0183,0.0183,720
carts_disk,3,mem,front-end,shipping,True,False,0.104,0.104,720
carts_disk,3,mem,catalogue,user,False,False,0.5291,0.5291,720
carts_disk,3,mem,catalogue,carts,True,False,0.3748,0.3748,720
carts_disk,3,mem,catalogue,orders,False,False,0.5387,0.5387,720
carts_disk,3,mem,catalogue,payment,True,False,-0.0022,0.0022,720
carts_disk,3,mem,catalogue,shipping,False,False,0.5094,0.5094,720
carts_disk,3,mem,user,carts,False,False,0.5035,0.5035,720
carts_disk,3,mem,user,orders,True,True,0.9283,0.9283,720
carts_disk,3,mem,user,payment,False,False,0.183,0.183,720
carts_disk,3,mem,user,shipping,False,False,0.9363,0.9363,720
carts_disk,3,mem,carts,orders,False,True,0.518,0.518,720
carts_disk,3,mem,carts,payment,True,False,-0.6199,0.6199,720
carts_disk,3,mem,carts,shipping,False,False,0.4996,0.4996,720
carts_disk,3,mem,orders,payment,False,True,0.1515,0.1515,720
carts_disk,3,mem,orders,shipping,False,True,0.913,0.913,720
carts_disk,3,mem,payment,shipping,False,False,0.1745,0.1745,720
carts_loss,1,cpu,front-end,catalogue,False,True,0.0653,0.0653,720
carts_loss,1,cpu,front-end,user,False,True,0.0364,0.0364,720
carts_loss,1,cpu,front-end,carts,False,True,-0.1395,0.1395,720
carts_loss,1,cpu,front-end,orders,False,True,-0.0471,0.0471,720
carts_loss,1,cpu,front-end,payment,False,False,0.0437,0.0437,720
carts_loss,1,cpu,front-end,shipping,False,False,0.1118,0.1118,720
carts_loss,1,cpu,catalogue,user,True,False,0.1242,0.1242,720
carts_loss,1,cpu,catalogue,carts,True,False,0.038,0.038,720
carts_loss,1,cpu,catalogue,orders,True,False,-0.0484,0.0484,720
carts_loss,1,cpu,catalogue,payment,False,False,0.029,0.029,720
carts_loss,1,cpu,catalogue,shipping,False,False,-0.165,0.165,720
carts_loss,1,cpu,user,carts,True,False,0.0891,0.0891,720
carts_loss,1,cpu,user,orders,True,True,-0.1864,0.1864,720
carts_loss,1,cpu,user,payment,False,False,-0.0481,0.0481,720
carts_loss,1,cpu,user,shipping,False,False,-0.0028,0.0028,720
carts_loss,1,cpu,carts,orders,True,True,-0.0016,0.0016,720
carts_loss,1,cpu,carts,payment,False,False,-0.0874,0.0874,720
carts_loss,1,cpu,carts,shipping,False,False,-0.1294,0.1294,720
carts_loss,1,cpu,orders,payment,False,True,-0.1476,0.1476,720
carts_loss,1,cpu,orders,shipping,False,True,-0.0707,0.0707,720
carts_loss,1,cpu,payment,shipping,True,False,0.1284,0.1284,720
carts_loss,1,mem,front-end,catalogue,False,True,0.2341,0.2341,720
